ID_ESPACIO,ID_EDIFICIO,ID_UTC,ID_CENTRO,ID_CC,ID_SOROLLA,TIPO_DE_USO,LARGO,ANCHO,DIAGONAL,SUPERFICIE,ALTURA_MAXIMA,ALTURA_MEDIA,VOLUMEN,FALSO_TECHO,NMRO_VENTANAS,PERSIANAS_EXT,ORIENTACION_PRAL,ILUMINACION_ART,NMRO_PUNTOS_LUZ,NMRO_PUNTOS_AGUA,NMRO_PUNTOS_GAS,VITRINAS_RIESGO_BIOLOGICO,VITRINAS_RIESGO_QUIMICO,NMRO_VITRINAS_RB,NMRO_VITRINAS_RQ,PTOS_EXTRACCION_LOCALIZADA,NMRO_PTOS_EXT_LOCALIZ,TIPO_CALEFACCION,TIPO_CLIMATIZACION,ROSETAS_VOZ,ROSETAS_DATOS,CAÑON_FIJO,PANTALLA_PROYECTOR,EQUIPO_DE_SONIDO,TV,VIDEO,DVD,FOTOCOPIADORAS,IMPRESORAS,ORDENADORES,FAXES,TELEFONOS,PIZARRA,NMRO_PLAZAS,CAD_ASOCIADO,OBSERVACIONES,EXTINTORES_DE_POLVO,EXTINTORES_DE_CO2,NMRO_EXTINTORES_POLVO,NMRO_EXTINTORES_CO2,BIES,NMRO_BIES,TIPO_BIES,COLUMNA_SECA,GRUPO_DE_PRESION_INCENDIOS,DETECCION_DE_INCENDIOS,PROTECCION_POR_ROCIADORES,ILUMINACION_DE_EMERGENCIA,POTENCIA_ELECTRICA_INSTALADAW,RESERVABLE
"CRE.1201.01.943","CRE.1201.","01.943","08 ING DIS Y FAB",,0,40,11.42000000,8.64000000,0.00000000,98.70000000,2.750,2.750,271.42500000,1,12,2,7,5,13,0,0,0,0,0,0,0,0,6,1,,,0,1,0,1,1,0,0,0,2,0,1,5,52,,"METROLOGÍA E INGENIERÍA DE LA CALIDAD",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.947","CRE.1201.","01.947","ASEO MASCULINO",,6660,7,4.01000000,4.28000000,0.00000000,17.18000000,2.770,2.770,47.58900000,1,0,0,2,3,8,6,0,0,0,0,0,0,0,4,3,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.948","CRE.1201.","01.948","ASEO FEMENINO",,6659,9,4.00000000,4.27000000,0.00000000,17.13000000,2.780,2.780,47.62100000,1,0,0,2,3,7,6,0,0,0,0,0,0,0,4,3,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CRE.1201.01.950","CRE.1201.","01.950","08 LAB QUIM",,7100,41,17.73000000,11.38000000,0.00000000,201.82000000,2.760,2.760,557.02300000,1,24,2,7,5,22,60,39,0,1,0,5,0,0,4,3,,,0,0,0,,0,0,0,2,3,0,2,5,24,,"DOS LABORATORIOS:
INTEGRADO CPS;

LABORATORIO QUÍMICA FISICA;",1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.960","CRE.1201.","01.960","06 LAB QUIM",,6657,41,17.38000000,8.71000000,0.00000000,99.17000000,2.760,2.760,273.70900000,1,12,2,7,5,13,14,6,0,1,0,2,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,20,,"SALA TMA",1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.01.965","CRE.1201.","01.965","05 LAB DOW",,6785,44,11.38000000,8.69000000,0.00000000,99.06000000,2.760,2.760,273.40600000,1,12,2,7,5,13,0,0,0,0,0,0,0,0,6,1,,,1,0,0,,0,0,0,0,20,0,1,5,20,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.02.010","CRE.1201.","02.010","PASILLO",,0,31,0.00000000,0.00000000,78.16000000,630.65000000,2.792,2.792,1760.77500000,1,10,3,6,3,52,0,0,0,0,0,0,0,0,2,5,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,1,0,3,0,1,2,2,0,0,1,0,1,0,0
"CRE.1201.02.020","CRE.1201.","02.020","PASILLO",,0,31,0.00000000,0.00000000,0.00000000,366.10000000,2.780,2.780,1017.75800000,1,47,3,7,3,28,0,0,0,0,0,0,0,0,2,5,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,1,1,2,1,1,2,1,0,0,1,0,1,0,0
"CRE.1201.02.030","CRE.1201.","02.030","AULA 2.21",,6677,6,8.00800000,8.66000000,11.78000000,69.34000000,2.792,2.792,193.59700000,1,6,3,7,5,9,0,0,0,0,0,0,0,0,6,1,,,1,1,1,,0,0,0,0,0,0,0,3,41,,"EUITIZ",1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.02.040","CRE.1201.","02.040","AULA 2.20",,6676,6,8.04000000,8.69000000,11.67000000,69.86000000,2.780,2.780,194.21100000,1,6,3,7,5,9,0,0,0,0,0,0,0,0,6,1,,,1,1,1,,0,0,0,0,0,0,0,3,41,,"EUITIZ",1,0,1,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.02.050","CRE.1201.","02.050","AULA 2.19",,6675,6,8.70000000,8.05000000,11.79000000,69.97000000,2.780,2.780,194.51700000,1,6,3,7,5,9,0,0,0,0,0,0,0,0,6,1,,,1,2,1,,1,0,0,0,1,0,0,3,41,,"EUITIZ",0,0,0,0,1,1,0,0,0,1,0,1,0,0
"CRE.1201.02.060","CRE.1201.","02.060","AULA 2.18",,6674,6,8.82200000,8.06200000,11.89000000,71.11000000,2.800,2.800,199.10800000,1,6,3,7,5,9,0,0,0,0,0,0,0,0,6,1,,,0,1,1,,0,0,0,0,0,0,0,3,31,,"ALTURA SIN FALSO TECHO 3,384;",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CRE.1201.02.070","CRE.1201.","02.070","SERV. INFORMÁTICA",,6673,30,8.06000000,4.24000000,8.94000000,34.27000000,2.790,2.790,95.61300000,1,3,3,7,5,4,0,0,0,0,0,0,0,0,6,1,,,0,1,1,,0,0,0,2,5,0,0,3,4,,"EUITIZ",0,0,0,0,0,0,0,0,0,1,0,1,0,0
